,title,location,requirements,employment_type,industry,function,fraudulent
65,LS17 6DJ Customer Service Apprenticeship Available Under NAS 16-18 year olds only!,"GB, , Leeds",Government funding is only available for 16-18 year olds as this job is an apprenticeship,Not Mentioned,Not Mentioned,Not Mentioned,Real
66,UX designer for iOS app,"DE, BW, Heidelberg",You must be experienced with:- iOS 7 - XCode 5 - Apple HIG - Interface BuilderA high degree of English fluency is required.,Contract,Internet,Design,Real
67,Full-Time Job Coach,"US, OR, Portland","       Normal  0          false  false  false    EN-US  X-NONE  X-NONE                                                                                                                                                                                                                                                                                                                                                           /* Style Definitions */ #URL_22932ad710cc8bab5012d10e1dc768a71064c391fef21e0fceddb0e7a66f97b6#{mso-style-name:""Table Normal"";mso-tstyle-rowband-size:0;mso-tstyle-colband-size:0;mso-style-noshow:yes;mso-style-priority:99;mso-style-parent:"""";mso-padding-alt:0in 5.4pt 0in 5.4pt;mso-para-margin:0in;mso-para-margin-bottom:.0001pt;mso-pagination:widow-orphan;font-size:10.0pt;font-family:""Times New Roman"",""serif"";}    Be able to drive on the job, which requires you to have a reliable personal vehicle, a valid driver's license, at least 3 years' driving experience, and a relatively clean driving record.Be at least 21 years old (a requirement of our auto insurance program).Must pass a physical with a lifting test of 75lbs, drug/alcohol screen, reference check, and criminal history background check.Must have ability to work a changing schedule.Previous coaching or mentoring experience is preferred.   Normal  0          false  false  false    EN-US  X-NONE  X-NONE                                                                                                                                                                                                                                                                                                                                                           /* Style Definitions */ #URL_22932ad710cc8bab5012d10e1dc768a71064c391fef21e0fceddb0e7a66f97b6#{mso-style-name:""Table Normal"";mso-tstyle-rowband-size:0;mso-tstyle-colband-size:0;mso-style-noshow:yes;mso-style-priority:99;mso-style-parent:"""";mso-padding-alt:0in 5.4pt 0in 5.4pt;mso-para-margin:0in;mso-para-margin-bottom:.0001pt;mso-pagination:widow-orphan;font-size:10.0pt;font-family:""Times New Roman"",""serif"";}",Full-time,Not Mentioned,Not Mentioned,Real
68,CS Student-Matific,"IL, , ",CS StudentThird year Bsc or first year Msc.GPA 90+University or a good college.  ,Not Mentioned,Not Mentioned,Not Mentioned,Real
69,Android Software Architect,"US, WA, Seattle","3+ years of Java development experience for AndroidExperience building Android applications from start to finishDeep understanding of Android Activities, Views, and ServicesExpertise with version control systems such as Git or SubversioniOS development experience a plusPeople and/or vendor management experience a plusAre you a fit for Ookla?Are you self-motivated and capable of working with little or no supervision?Are you knowledgeable, talented, and imaginative enough to take on a project from beginning to end?Are you always driven to improve quality and effectiveness?Are you eager and excited to work with like-minded individuals?If you answered ""yes"" to all those questions, you might be a good fit for Ookla.",Not Mentioned,Not Mentioned,Not Mentioned,Real
70,Sheffield DGV Apprenticeships Under NAS 18 Year Olds Only,"GB, SHF, Sheffield",18 year olds only due to government funding and the vehicle you will be driving.Full time availability.,Full-time,Logistics and Supply Chain,Not Mentioned,Real
71,Regional Sales Manager,"US, , ","Desired Skills &amp; ExperienceDirectly sell BCV services to client prospects in key industry verticals.Execute a sales plan, generating, and qualifying leads.Experience identifying and building new strategic relationships with all levels within customer organizations and leveraging existing contacts to engage new prospects.Build sales pipeline and win new business by identifying and closing new business opportunities.Meet or exceed annual and quarterly sales targets and quotas.Negotiate the terms of an agreement and close salesLeverage current connections and related experience in sales to build alliances with hotel partnersExecute the implementation process for the post-sale client services team.Contributes to team effort by accomplishing related results as needed.Maintain a strong understanding of current and new competition, positioning and trends.Be held to revenue goals and seek to identify new and creative travel packages that will build toward this revenue goalProactively track and maintain all prospect and client activity in sales tracking tools.Provide quality sales pipeline forecasts to the VP of Sales on an ongoing basis.",Not Mentioned,Not Mentioned,Not Mentioned,Real
72,HP BSM SME,"US, FL, Pensacola","MUST BE A US CITIZEN.An active TS/SCI clearance will be required.Additional Tools:HP BSM Applications: NNM, NA, OMi, OMW, Sitescope, etc… all   beneficialSoft Skill Req's:Leadership, Strong Written &amp; Verbal CommunicationBeneficial:Knowledge and experience with other HP Software tools a big plus.Additional ITIL and IS20K knowledge/experience very helpful",Full-time,Information Technology and Services,Not Mentioned,Real
73,Quality Assurance Specialist,Not Mentioned,If you:are willing to learn fastare attentive and pay attention to detailsunderstand software development processcan work on a few things at oncethink in a critical and analytical waycan work independently and with a teamhave very good communicative skillshave good command of written and spoken English...that means you're the perfect fit and should join our team!,Not Mentioned,Not Mentioned,Not Mentioned,Real
74,Graphic Designer,"US, CA, San Francisco","* Strong working knowledge of Adobe Photoshop, Illustrator, and other design tools * Master of typography and color * Experience in visual online marketing * (preferred) Experience or knowledge of tech startup environment * (preferred) Knowledge of video editing tools * (preferred) Knowledge of working with UI/UX",Full-time,Online Media,Design,Real
75,Social Media & Communications Manager,"US, CA, San Mateo","You are super smart and hungry to work for an extremely fast growing consumer electronics startupYou have a passion for communication, story telling, and engaging with others! You are pumped to be the voice of Tile and cannot wait to get creative with our media platformsYou use social media for both personal and professional life (notably Twitter, Facebook, LinkedIn, Google+, Pinterest, and Instagram)You are familiar with social media performance tools and are comfortable with metrics commonly used to measure digital marketing campaignsYou make J.K. Rowling jealous because your story telling skills are just that goodYou have spent at least 5 years in a marketing role. Of those, at least two have been spent managing external communications &amp; PR or social content for a brandYou are disciplined and rock solid reliable, but you like to have fun and collaborate, and you know how to balance these traits to achieve greatnessExcellent written and oral communication skills and team managementVery organized with strong time management skills",Full-time,Consumer Electronics,Marketing,Real
76,Web Developer,"BR, RS, Santa Maria",Advanced logic programmingPHP 5.3 + AdvancedJavascript (ECMA5) AdvancedjQuery Intermediate / AdvancedHTML5 Intermediate / AdvancedCSS3 Intermediate / AdvancedDatabase MySQL / SQLite AdvancedModeling DatabaseKnowledge of design patterns (Design Patterns)Knowledge of modeling standard MVCProgramming knowledge of WordPress CMS,Contract,Information Technology and Services,Information Technology,Real
77,Indirect Lending Sales Rep/Funder,"US, MA, Woburn","Adept at utilizing most current technology and software to process loan requests.Strong commitment to providing excellent member service.Ability to positively influence financial behaviors in members to improve credit and financial standing.Present cross-sell opportunities and successfully close in a timely manner.Previous sales or retail experience requiredSales and processing experience within an indirect or external lending program is preferred.Ability to work off-site and on varied shifts Monday through Sunday regularly or as needed.All positions must adhere to standard BSA/AML policies, procedures and processes.  Employees must demonstrate awareness of business functions and how business decisions affect financial and/or non-financial work results.",Full-time,Financial Services,Finance,Real
78,"Offering CASH Positions, Immediate Start.","US, CA, Los Angeles",Only basic knowledge of computer and Internet required.,Part-time,Marketing and Advertising,Marketing,Fake
79,Caregiver- Sawyer,"US, MI, Sawyer ",Not Mentioned,Part-time,Hospital & Health Care,Health Care Provider,Real
80,System Analyst,"US, CT, Bloomfield","Skill VB.NET 9.0Location Bloomfield, CTTotal Experience 7 yrs.Max Salary $ DOE Per HourEmployment Type Direct Jobs (Full Time)Domain Any",Full-time,Information Technology and Services,Information Technology,Real
81,Accounting Manager,"US, OR, Portland","ResponsibilitiesThese are the sorts of things you'll be working on.Budget Preparation And AnalysisCost Of Goods Sold AnalysisCapital Expenditure Budget &amp; TrackingFinancial Modeling And AnalysisSaas Metrics Modeling And TrackingTransfer Pricing AnalysisMonthly Forecasts (is, Bs, Cf)PayrollExpense ReportsCommission &amp; Mbo CalculationsSubsidiary AccountingSupport Functional DepartmentsProduct Proposal AnalysisDesired Skills and ExperienceBelow are the skills required for this position. Please review them carefully.Bachelor's degree or higherCPA5-10 years combined experience in public accounting and/or mid-size technology companyExperience with International subsidiary accountingExcellent verbal communication and interpersonal skills",Full-time,Internet,Finance,Real
82,Community Manager,"GR, I, Athens","We need to know you are an expert in many of the areas below, ideally all of them:Community management: Engage with the existing Taxibeat following base (Facebook, Twitter) in a real, authentic tone. We love talking to people like real people.Paid Acquisition: Setup and follow our marketing campaigns on Facebook, Google and mobile on a daily basis. Setup affiliate channels.Content Marketing: Leveraging blog posts, infographics, and viral videos to increase brand awareness.E-mail Marketing.Analytics: Measure everything on a daily basis, report back, suggest improvements, measure again.You have to absolutely LOVE Taxibeat to succeed.Most important: please follow this link and take the test. You have to take at least one device (iPhone or Android) test, and all the rest. We need to know how you did there.",Not Mentioned,Not Mentioned,Not Mentioned,Real
83,Business Development Director  - Fashion Wearable Technology,"US, CA, Santa Clara","Business development experience in the world of fashion.Proven track record of turning ideas into successful, profitable consumer products and understanding of the value chain in the fashion industry.Passion for technology in wearable devices and fashion-forward concepts.Strong influencer with outstanding communication and presentation skills.Ability to set strategic direction, manage to goals and drive business development to increase shareholder value.Track record of building strategic, long-term B2B partnerships across industries.10+ years of experience in business development and product innovation.BS, MBA preferred",Full-time,Apparel & Fashion,Business Development,Real
84,iOS Developer,"GR, , Αthens","Experienced business apps developer (the experience should be proved either through a personal app portofolio or through a recruitement record in similar positions).A good understanding of the aestetics and usability aspects, in parallel with the programming ones.Team player and perfectionist. ",Full-time,Internet,Information Technology,Real
85,Outreach Specialist,"US, NY, Bronx",College experience; Associate's Degree preferredExperience in adult human services and/or with diverse populations in low-income neighborhoodsStrong interpersonal and communication skills; able to conduct program presentations to diverse audiences in various settingsAbility to work independently and as part of a teamWell-organizedWillingness to travel throughout the five boroughs of New York CityProficient in Microsoft OfficeBilingual (Spanish/English) preferred,Not Mentioned,Not Mentioned,Not Mentioned,Real
86,Social Media Manager,"GB, , ",Not Mentioned,Contract,Internet,Not Mentioned,Real
87,Software Developer (Ruby),"US, CA, Santa Monica","Experience with PHP or Ruby on Rails.Experience with version control systems and various frameworks.Possess excellent written and verbal communication.Possess creativity, flexibility, and growth potential.Bachelors or Masters Degree in Computer Science, Engineering, Math, or equivalentExperience with any of these other systems &amp; languages is nice to haveAdditional Languages: Javascript, Objective-C, Swift, Go, Java, PythonOther Software / Frameworks:  Android, iOS, Jenkins, Bamboo, Robot Framework, Selenium, Photoshop, Quickbooks, illustrator, Netsuite, Intacct, Freshbooks, Sinatra, ACH, OCR, Axure, Prototyper, Amazon Web Services AWS, Rackspace, Google Cloud, Ansible, Chef, Puppet, Docker, Nagios, Nexpose, Metasploit, codeigniter, CakePHP, Wordpress, SEO, git, svn, Ember/Angular, etc",Full-time,Computer Software,Information Technology,Real
88,Front Desk Agent in Arumaila boutique-hotel,Not Mentioned,"Knowledge, Skills and Abilities: Excellent communication and English skillsGood organizational skillsEffective conflict management and decision-makingPrevious experience in customer service is an assetAbility to use a variety of computer applications Ability to speak a second language is an asset",Not Mentioned,Not Mentioned,Not Mentioned,Real
89,Professional Development Coordinator (Perioperative)  ,"US, CT, ",Not Mentioned,Full-time,Hospital & Health Care,Not Mentioned,Fake
90,Electrical Maintenance Technician,"US, WI, Milwaukee",Not Mentioned,Full-time,Not Mentioned,Not Mentioned,Real
91,Print Designer,"US, PA, ",Not Mentioned,Other,Apparel & Fashion,Not Mentioned,Real
92,Customer Service Associate ,"GB, LND, London","About YouYou must have previous customer service experience and enjoy talking to peopleYou must have excellent English speaking and writing skillsYou need to be flexible and able to deal with an ever changing environmentYou should be good a problem solving, able to take the initiative, be enthusiastic and have a positive attitudeAn interest in working in start ups",Full-time,Consumer Goods,Customer Service,Real
93,Mobile Platform Web Developer,"GB, RIC, Twickenham","The candidate must be able to demonstrate the following;High knowledge and experience of PHP.3+ years OOP (Object Oriented Programming) with PHP 5.3+Experience with Symfony2 framework in a production environment.REST API design and patternsDesign patterns2+ years MySQL 5.5+Experience of SQL query optimisation and working with complex data structuresMobile development experience with responsive designs and optimising content delivery for Tablet and Mobile devices.HTML, CSSJavaScript, jQuery, Bootstrap, Other mobile specific Javascript Libraries.Excellent communication skills; both written and verbal.Love solving problems with great solutions.Being able to communicate your ideas and opinions to a talented group of developers.Drive and focus with a proven track record of delivery.Promote the success of the team by contributing your strengths.Have raw talent and technical aptitude.Must be upbeat and have a positive nature that inspires other.",Full-time,Information Technology and Services,Information Technology,Real
94,User Experience Designer | Mobile,"IN, AP, Hyderabad","Be adept and experienced in various User Research and Usability Testing Methodologies·       Understand and Analyze User Research Data to determine UX Key Differentiators·       Conduct Usability Reviews &amp; Competitive Evaluation of Mobile Apps·       Generate User Scenarios based on domain understanding and analysis·       Define Navigation Models and Information Architecture for Mobile Apps·       Define workflows through paper prototypes, conceptual sketches or Storyboards·       Create wireframes with detailed Interactions and with a focus on Attention to Detail",Full-time,Design,Art/Creative,Fake
95,Customer Support,"PL, MZ, Warsaw","Fluent (spoken and written) english Experience in sales and customer service in the IT industry (or similar)Ability to establish contacts and build long term relationships with the customersKnowledge of CRM system, preferably Base CRMA high level of interpersonal skills",Full-time,Not Mentioned,Customer Service,Real
96,Senior Automation Tester,"GB, LND, London","• Minimum 5 years of software testing/Development experience in a commercial environment. • Minimum 3 years of experience in test automation development. • Extensive knowledge /experience with Java, C &amp; C++ based embedded and server products • Extensive knowledge of test scripting languages and frameworks, such as Ruby/Python, Selenium, Robotium, Calabash is a big plus • Experience with Agile Development, requirements analysis &amp; test design.",Full-time,Aviation & Aerospace,Information Technology,Real
97,"ASP.net Developer Job opportunity at United States,New Jersey","US, NJ, Jersey City","Position : #URL_86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd# DeveloperJob Location :United States-New Jersey-Jersey CityUs work status required : EAD / Green Card / US Citizens Detailed Description#URL_86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd# Developer with strong SQL &amp; VB.NET working in a highly effective software development team responsible for development of and enhancements to our IDB reporting and billing systems. All work efforts will be performed according to policies and procedures relating to software development and quality.Background: Developer with 5+ years of development experience using #URL_86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd#, VB.NET, including 3-5 years in SQL development.Required:• College degree• Experience building web based applications using #URL_86fd830a95a64e2b30ceed829e63fd384c289e4f01e3c93608b42a84f6e662dd# and SQL Server.• Expert level, hands-on experience writing SQL Server Stored Procedures.• Proficient in MS Office products (Excel, Access, Word, Outlook)• Worked in a role that involved the creation of reports for internal management and/or external customers.• Experience developing in another scripting/front-end language.• Excellent communication skillsIf you are interested, please send your updated profile to #EMAIL_897dfb1f33f6c34f2bed521623e9808aa4e62d89a6c0284cfe89393e4457e628#Hiring for Sales Account Director(advertising/digital sales)Position : Sales Account Director - Pacific NorthwestJob Location : United States,Washington-SeattleUs work status required : EAD / Green Card / US Citizens Requirements :•3+ years of advertising/digital sales experience, preferrably in the region•Ability to provide forecasting information to management•Proven success prospecting/cold-calling regional accounts•Proven experience in automotive, tech, health care, and travel categories, among others•Specialized experience with hands-on agency account management •Self-starter with a roll-up-your-sleeves mentality•Ability to work with the internal teams to solve problems•Solid grasp of interactive media, including various pricing models, targeting technologies, and ad serving•Bachelor's degree•Strong long-distance communication skills using email, instant messenger platforms, and phone•High technical aptitude for learning and working within desktop and web-based applications (Windows, Microsoft Office, DSPs, ad exchanges) •Ability to calculate and analyze data based on standard digital advertising cost-per metrics (CPM, CPC, CPA, etc.)•Detail-oriented with strong organizational skills and multitasking ability•Ability to work efficiently and effectively under tight deadlines; strong sense of urgency•Personality to work effectively within a fast-moving environment and with many different types of people•Desire and ability to work from home ",Full-time,Information Technology and Services,Information Technology,Real
98,General Clerk 2 ,"US, OK, Lawton","Required Qualifications:Have knowledge of business or program terminology, methods, and procedures; of office procedures; and of spelling, punctuation and grammarWork experience in email and Microsoft Windows environments is requiredKeyboarding skills requiredAbility to communicate effectively both in verbal and written formAbility to effectively work individually or in a team environmentAbility to handle multiple projects simultaneouslyAbility to adapt to change in a fast-growing production environment Strong organizational and administrative skillsDemonstrated ability to show initiative and accept ownership of projectsAbility to use problem-solving skills in order to resolve client issuesBasic mathematical knowledgeAbility to meet employer's attendance policy May be required to lift items weighing up to 50 pounds or the State maximum allowed with or without accommodationsMay be required to sit, stand, and or walk for long periods of time with or without accommodationsHigh School Diploma or Equivalent (GED) requiredPreferred Qualification:Minimum 3 months customer service experiencePrior experience in Healthcare or Insurance Industry a plus",Full-time,Consumer Services,Customer Service,Real
99,Project Manager,"JP, 13, ",Project management experienceAgile process knowledgeGood communication skillsScrum knowledge is a plusUnderstanding of engineering and creative processFluent English and Japanese requiredMust live in Tokyo or wish to relocateBachelor degree or above,Full-time,Information Technology and Services,Project Management,Real
